"Name","TID","MinXPLevel","MaxXPLevel","FileName","ExportName","Character"
"String","String","int","int","String","String","String"
1,"TID_HINT_0",1,40,,,
2,"TID_HINT_1",1,40,,,
3,"TID_HINT_2",1,40,,,
4,"TID_HINT_3",1,40,,,
5,"TID_HINT_4",1,40,,,
6,"TID_HINT_5",3,999,,,
7,"TID_HINT_6",3,999,,,
8,"TID_HINT_7",20,999,,,
9,"TID_HINT_8",999,999,,,
10,"TID_HINT_9",20,999,,,
11,"TID_HINT_10",1,40,,,
12,"TID_HINT_11",1,40,,,
13,"TID_HINT_12",3,60,,,
14,"TID_HINT_13",3,60,,,
15,"TID_HINT_14",3,60,,,
16,"TID_HINT_15",3,60,,,
17,"TID_HINT_16",3,60,,,
18,"TID_HINT_17",3,60,,,
19,"TID_HINT_18",3,60,,,
20,"TID_HINT_19",3,60,,,
21,"TID_HINT_20",3,60,,,
22,"TID_HINT_21",1,40,,,
23,"TID_HINT_22",1,40,,,
24,"TID_HINT_23",3,60,,,
25,"TID_HINT_24",3,60,,,
26,"TID_HINT_25",3,60,,,
27,"TID_HINT_26",20,999,,,
28,"TID_HINT_27",3,999,,,
29,"TID_HINT_28",3,999,,,
30,"TID_HINT_29",3,60,,,
31,"TID_HINT_30",3,999,,,
32,"TID_HINT_31",20,999,,,
33,"TID_HINT_32",3,60,,,
34,"TID_HINT_33",3,999,,,
35,"TID_HINT_34",3,999,,,
36,"TID_HINT_35",3,999,,,
37,"TID_HINT_36",3,999,,,
38,"TID_HINT_37",999,999,,,
39,"TID_HINT_38",7,999,,,
40,"TID_HINT_39",7,999,,,
41,"TID_HINT_40",3,999,,,
42,"TID_HINT_41",7,999,,,
43,"TID_HINT_42",1,40,,,
44,"TID_HINT_43",20,999,,,
45,"TID_HINT_44",20,999,,,
