"Name","Language","URL"
"string","string","string"
"ShellyTutorial",,
"ColtTutorial",,
"BullTutorial",,
"BrockTutorial",,
"RicoTutorial",,
"SpikeTutorial",,
"BarleyTutorial",,
"JessieTutorial",,
"NitaTutorial",,
"MikeTutorial",,
"PrimpTutorial",,
"MortisTutorial",,
"CrowTutorial",,
"PocoTutorial",,
"BoTutorial",,
"PiperTutorial",,
"PamTutorial",,
"TaraTutorial",,
"DarrylTutorial",,
"PennyTutorial",,
"FrankTutorial",,
"GeneTutorial",,
"LeonTutorial",,
"CoinRush","EN",,
"AttackDefend",,
"BossFight",,
"BountyHunter",,
"Artifact",,
"LaserBall",,
"BattleRoyale",,
"BattleRoyaleTeam",,
"Survival",,
"Raid",,
"RoboWars",,
