"Name","PinType","Rarity","Index","Bonus","CraftCost"
"string","int","int","int","int","int"
"pinHp0",1,0,0,1,20
"pinHp1",1,0,1,1,20
"pinHp2",1,0,2,1,20
"pinAtt0",2,0,0,1,20
"pinAtt1",2,0,1,1,20
"pinAtt2",2,0,2,1,20
"pinUlti0",3,0,0,1,20
"pinUlti1",3,0,1,1,20
"pinUlti2",3,0,2,1,20
"badgeHp0",1,1,0,2,50
"badgeHp1",1,1,1,2,50
"badgeAtt0",2,1,0,2,50
"bargeAtt1",2,1,1,2,50
"badgeUlti0",3,1,0,2,50
"badgeUlti1",3,1,1,2,50
"medalHp",1,2,0,3,120
"medalAtt",2,2,0,3,120
"medalUlti",3,2,0,3,120
"crest0",4,3,0,4,300
"crest1",4,3,1,4,300
"crest2",4,3,2,4,300
"brawlstar",5,4,0,8,1000
